name,category,market_name,product_url,product_id,price,manufacturer,amount,measure
Филе цыпленка охлажденное Петруха 850г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhlazhdennoe-petrukha-850g-833137-parent-1,887144,324.5,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""",0.85,кг
Медальоны куриные Петруха 600г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BC%D0%B5%D0%B4%D0%B0%D0%BB%D1%8C%D0%BE%D0%BD%D1%8B-%D0%BA%D1%83%D1%80%D0%B8%D0%BD%D1%8B%D0%B5-%D0%BF%D0%B5%D1%82%D1%80%D1%83%D1%85%D0%B0-600%D0%B3-855615-parent--1,937179,267.9,"ОАО ""Смолевичи Бройлер""",0.6,кг
Мякоть бедра цыпленка бескостная охлажденная Петруха 750г,"Мясо, птица, колбасы",okey,/spb/skidki-1/%D0%BC%D1%8F%D0%BA%D0%BE%D1%82%D1%8C-%D0%B1%D0%B5%D0%B4%D1%80%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%B1%D0%B5%D1%81%D0%BA%D0%BE%D1%81%D1%82%D0%BD%D0%B0%D1%8F-%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-873887-parent-3074457345617645704--1,3074457345617645704,189.99,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""",0.75,кг
Грудка цыпленка охлажденная 300-550г Роскар кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D1%80%D1%83%D0%B4%D0%BA%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-461373-parent--1,43921,301.4,"ПАО ""Птицефабрика Роскар""",1.0,кг
Филе цыпленка охлажденное 300-550г Роскар кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-461375-parent--1,43924,418.9,"ПАО ""Птицефабрика Роскар""",1.0,кг
Цыпленок 1кат охлажденный ПФ Северная кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BE%D0%BA-1%D0%BA%D0%B0%D1%82-%D0%BE%D1%85%D0%BB-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-13745-parent--1,44121,200.4,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Цыпленок 1кат охлажденный н/п Петелинка кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/tsyplenok-okhl-kalibrovannyi-petelino-kg-439754-parent-1,44242,208.9,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Бедро цыпленка охлажденное Петелинка кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/bedro-tsyplenka-okhl-petelino-kg-439755-parent-1,44245,255.9,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Филе цыпленка охлажденное Петелинка кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhl-petelino-kg-439756-parent-1,44246,398.9,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Окорок цыпленка охлажденный Петелинка кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D0%B5%D1%82%D0%B5%D0%BB%D0%B8%D0%BD%D0%BE-%D0%BA%D0%B3-439757-parent--1,44248,224.5,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Голень цыпленка охлажденная Петелинка кг,"Мясо, птица, колбасы",okey,/spb/golen-tsyplenka-okhlazhdennaia-petelinka-kg,44249,299.5,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Грудка цыпленка охлажденная Петелинка кг,"Мясо, птица, колбасы",okey,/spb/grudka-tsyplenka-okhlazhdennaia-petelinka-kg,44252,269.9,"ЗАО ""Петелинская птицефабрика"", Россия",1.0,кг
Крыло индейки п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/krylo-indeiki-okhl-kg-469670-parent-1,45082,234.4,"ООО ""Конкорд"", Россия",1.0,кг
Окорок цыпленка охлажденный 300-550г Роскар кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-17464-parent--1,45319,256.4,"ПАО ""Птицефабрика Роскар""",1.0,кг
Филе грудки индейки п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-grudki-indeiki-okhl-beloe-miaso-kg-18546-parent-1,45652,514.4,"ООО ""ЕВРОДОН"", Россия",1.0,кг
Голень цыпленка охлажденная Халяль Приосколье кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D1%85%D0%B0%D0%BB%D1%8F%D0%BB%D1%8C-%D0%BF%D1%80%D0%B8%D0%BE%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%B5--%D0%BA%D0%B3-20765-parent--1,46405,295.9,"ЗАО ""Приосколье""",1.0,кг
Филе цыпленка охлажденное Халяль Приосколье кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhl-khalial-prioskol-e-kg-20770-parent-1,46410,407.9,"ЗАО ""Приосколье"", Россия",1.0,кг
Филе бедра индейки п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/file-bedra-indeiki-p-f-okhlazhdennyi-kg,46451,319.0,"ООО ""ЕВРОДОН"", Россия",1.0,кг
Филе цыпленка замороженное Приосколье кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-zam-prioskol-e-kg-20493-parent-1,46779,346.4,"ЗАО ""Приосколье"", Россия",1.0,кг
Бедро цыпленка п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/bedro-tsyplenka-okhl-val-kg-41019-parent-1,52175,172.4,"ООО «Птицефабрика Акашевская», Россия",1.0,кг
Голень цыпленка п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/golen-tsyplenka-okhl-val-kg-41028-parent-1,52178,212.9,"ООО «Птицефабрика Акашевская», Россия",1.0,кг
Филе цыпленка п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%B2%D0%B0%D0%BB-%D0%BA%D0%B3-41039-parent--1,52180,346.4,"ООО «Птицефабрика Акашевская», Россия",1.0,кг
Бедро цыпленка охлажденное Северная ПФ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B1%D0%B5%D0%B4%D1%80%D0%BE-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648971-parent--1,54528,234.4,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Голень цыпленка охлажденная Северная ПФ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648972-parent--1,54535,257.5,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Грудка цыпленка охлажденная Северная ПФ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D1%80%D1%83%D0%B4%D0%BA%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648975-parent--1,54536,246.4,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Крыло цыпленка охлажденное Северная ПФ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BA%D1%80%D1%8B%D0%BB%D0%BE-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648973-parent--1,54539,245.4,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Окорок цыпленка охлажденный ПФ Северная кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BE%D0%BA%D0%BE%D1%80%D0%BE%D0%BA-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648974-parent--1,54540,218.4,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Филе цыпленка охлажденное Северная ПФ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BF%D1%84-%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F--%D0%BA%D0%B3-648970-parent--1,54542,379.9,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",1.0,кг
Бедро цыпленка охлажденное Куромяки кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B1%D0%B5%D0%B4%D1%80%D0%BE-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BA%D1%83%D1%80%D0%BE%D0%BC%D1%8F%D0%BA%D0%B8---%D0%BA%D0%B3-644421-parent--1,54779,267.9,"ПАО ""Птицефабрика Роскар""",1.0,кг
Голень цыпленка охлажденная Куромяки кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BA%D1%83%D1%80%D0%BE%D0%BC%D1%8F%D0%BA%D0%B8---%D0%BA%D0%B3-644422-parent--1,54780,357.4,"ПАО ""Птицефабрика Роскар""",1.0,кг
Филе цыпленка охлажденное Куромяки кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-%D0%BA%D1%83%D1%80%D0%BE%D0%BC%D1%8F%D0%BA%D0%B8---%D0%BA%D0%B3-644423-parent--1,54786,480.4,"ПАО ""Птицефабрика Роскар""",1.0,кг
Филе бедра индейки охлажденное ГВУ Индилайт кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D1%84%D0%B8%D0%BB%D0%B5-%D0%B1%D0%B5%D0%B4%D1%80%D0%B0-%D0%B8%D0%BD%D0%B4%D0%B5%D0%B9%D0%BA%D0%B8-%D0%B3%D0%B2%D1%83-%D0%B8%D0%BD%D0%B4%D0%B8%D0%BB%D0%B0%D0%B9%D1%82--%D0%BA%D0%B3-671730-parent--1,55235,614.9,"ООО ""Крестьянское хозяйство Макарова И.М.""",1.0,кг
